Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
DIESEL,ENGINE,OPERATING,MANUAL,,,,,,
OPERATING FAULTS (TROUBLE SHOOTING ),,,,,,,,,
PROJECT:,VERSION:,SECTION:,,,,,,,
PAGE:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
4.4.1.1.7,FAULT,FINDING,"""OPERATING","DATA""",,,,,
Table,4-25: Errors,and their,causes/fault,finding,"– Part 2 – ""Operating","Data""",,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Error/System,,,,,,,,,
,,,,,,,,,
Causes,INFO,,,,,,,,
(Section/Work,,,,,,,,,
Card in,,,,,,,,,
DO0F466162E,,,,,,,,,
Maintenance,,,,,,,,,
Manual),,,,,,,,,
,,,,,,,,,
Code,,,,,,,,,
Cooling,water,temperature,too high,,,,,,
Cooling water,system,(HT system),Cooling water,shortage,or air in the cooling,,,,
watersystem,42,,,,,,,,
Cooling,water,chambers,and/or,radiator,000.08,43,,,
Cooling,water,pump,faulty,44,,,,,
Temperature,control,faulty,47,,,,,,
Preheating,device,active,87,,,,,,
Engine,Engine,or,individual,cylinders,severely,"3.5, 4.3 25",,,
Control,and monitoring system,Indicating,instrument,or connection,line faulty,39,,,
Cooling,water,pressure,too low,,,,,,
Cooling water,system,(HT system),Cooling water,level,in the tank,too low,70,,
Leakage,in the system,71,,,,,,,
Lines,"blocked,",components,blocked,74,,,,,
Cooling,water,pump,faulty,44,,,,,
Stand -by pump,not started,82,,,,,,,
Control,and monitoring,system,Indicating,instrument,or connection,line faulty,39,,
Pressure,switch/Measuring,transducer,faulty,61,,,,,
Lube,oil temperature,too high,,,,,,,
Cooling water,system,(re-cooling,,,,,,,
system),Cooling water,shortage,or air in the cooling,,,,,,
watersystem,42,,,,,,,,
Cooling water,chambers,and/or,radiator,,,,,,
contaminated,000.08,43,,,,,,,
Cooling,water,pump,faulty,44,,,,,
Temperature,control,faulty,47,,,,,,
Preheating,device,active,87,,,,,,
Control,and monitoring,system,Indicating,instrument,or connection,line faulty,39,,
Lube,oil pressure,too low DIESEL,ENGINE,OPERATING,MANUAL,,,,
OPERATING FAULTS (TROUBLE SHOOTING ),,,,,,,,,
PROJECT:,VERSION:,SECTION:,,,,,,,
PAGE:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Error/System,,,,,,,,,
,,,,,,,,,
Causes,INFO,,,,,,,,
(Section/Work,,,,,,,,,
Card in,,,,,,,,,
DO0F466162E,,,,,,,,,
Maintenance,,,,,,,,,
Manual),,,,,,,,,
,,,,,,,,,
Code,,,,,,,,,
Lube,oil system,Low oil level,in the service,tank,35,,,,
"Pressure relief valve of the lube oil pump,",,,,,,,,,
broken spring,36,,,,,,,,
Pressure,regulating,valve,faulty,60,,,,,
Lube,oil pipes,leaking,37,,,,,,
Lube,oil lines,blocked,80,,,,,,
Lube,oil filter,clogged,38,,,,,,
Lube,oil pump,faulty,41,,,,,,
Stand -by pump,not started,82,,,,,,,
Control,and monitoring system,Indicating,instrument,or connection,line faulty,39,,,
Exhaust,gas temperature,(level,control,deviation,or mean,value,change),,
Fuel,system,Fuel pressure,before injection,"pump too low,",,,,,
feed pump,faulty,"3.4, 3.5 12",,,,,,,
Engine,Engine,or,individual,cylinders,severely,"3.5, 4.3 25",,,
Charge,air system,Charge,air temperature,"too high,",charge,air,,,
pressure toolow,3.5 48,,,,,,,,
Error,in the bypass,system,62,,,,,,
Injection,time maladjustment,Injection,time too late (only,for engines,with,,,,
automatic,fuelinjectiontimer),"3.4, 200.xx,",,,,,,,
120.xx,15 ●,,,,,,,,
Injection,valves,Injection,valves,faulty,221.xx,20,,,
Fuel injection,pump,Fuel injection,pump,- incorrect,setting,200.xx,67,,
Fuel injection,pump,faulty,200.xx,68,,,,,
Cylinder,head,Cylinder,head,- Inlet duct,contaminated,055.xx,88,,
Inlet,and exhaust,valves Inlet,or exhaust,"valves are sticking,",valve,,,,
"springsbroken, valves",leaking,"113.xx,",114.xx,26,,,,,
Control,and monitoring,system,Indicating,instrument,or connection,line faulty,39,,
Temperature,sensor,faulty,84,,,,,,
Cabling/Connections,defective/faulty,86,,,,,,,
Turbocharger,Turbocharger,contaminated,or faulty,500.xx,49,,,,
Ship,for marine engines:,Propeller,damaged,or,,,,,
foulingon theship's,hull,45,,,,,,,
Charge,air temperature,too high,DIESEL,ENGINE,OPERATING,MANUAL,,,
OPERATING FAULTS (TROUBLE SHOOTING ),,,,,,,,,
PROJECT:,VERSION:,SECTION:,,,,,,,
PAGE:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Error/System,,,,,,,,,
,,,,,,,,,
Causes,INFO,,,,,,,,
(Section/Work,,,,,,,,,
Card in,,,,,,,,,
DO0F466162E,,,,,,,,,
Maintenance,,,,,,,,,
Manual),,,,,,,,,
,,,,,,,,,
Code,,,,,,,,,
Intake,air system/,Charge,air system,Intake,temperature,too high 3.5 50,,,
Charge,air cooler,contaminated,(pressure,,,,,,
difference too great),"3.5, 322.xx",53,,,,,,,
Leakage,on air and exhaust,side,52,,,,,,
Exhaust,gas system,Exhaust,gas counter,pressure,too high,,,,
(exhaust,boiler contaminated),3.5 54,,,,,,,
Injection,time maladjustment,Injection,time,too early,(only,for engines,with,,
automatic,fuelinjectiontimer),"3.4, 200.xx,",14,,,,,,
Control,and monitoring system,Indicating,instrument,or connection,line faulty,39,,,
Turbocharger,"Air filter,",compressor/turbine,side of the,,,,,,
turbocharger,contaminated /damaged,500.xx,51,,,,,,
Charge,air pressure,too low,,,,,,,
Intake,air system/,Charge,air system,Intake,temperature,too high 3.5 50,,,
Charge,air cooler,contaminated,(pressure,,,,,,
difference too great),"3.5, 322.xx",53,,,,,,,
Leakage,on air and exhaust,side,52,,,,,,
Exhaust,gas system,Exhaust,gas counter,pressure,too high,,,,
(exhaust,boiler contaminated),3.5 54,,,,,,,
Injection,time maladjustment,Injection,time,too early,(only,for engines,with,,
automatic,fuelinjectiontimer),"3.4, 200.xx,",14,,,,,,
Control,and monitoring system,Indicating,instrument,or connection,line faulty,39,,,
Turbocharger,"Air filter,",compressor/turbine,side of the,,,,,,
turbocharger,contaminated /damaged,500.xx,51,,,,,,
Crankshaft,bearing,- temperature,too high,,,,,,
Crankshaft,bearing,Bearing,"damaged,",faulty,lubrication,021.xx,72,,
Engine,Alignment/foundation,faulty,"000.09,",012.xx,95,,,,
Control,and monitoring,system,Temperature,sensor,faulty,84,,,
Cabling/Connections,defective/faulty,86 DIESEL,ENGINE,OPERATING,MANUAL,,,,
OPERATING FAULTS (TROUBLE SHOOTING ),,,,,,,,,
PROJECT:,VERSION:,SECTION:,,,,,,,
PAGE:,,,,,,,,,
,,,,,,,,,
4.4.1.1.8,FAULT,FINDING - OTHER,PROBLEMS,,,,,,
Table,4-26: Errors,and their,causes/Fault,finding,"– Part 3 – ""Other","Problems""",,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Error/System,,,,,,,,,
,,,,,,,,,
Causes,INFO,,,,,,,,
(Section/Work,,,,,,,,,
Card in,,,,,,,,,
DO0F466162E,,,,,,,,,
Maintenance,,,,,,,,,
Manual),,,,,,,,,
,,,,,,,,,
Code,,,,,,,,,
Stiff/blocked,movement,of the governor,control,linkage,of the injection,pumps,,,
Speed,governor/,Control,linkage,Governor,or control,linkage,misadjusted,"3.4, 140.xx",22
Governor,control,linkage,stiff or jammed,203.xx,23,,,,
Control,and monitoring,system,Shut -down,device,triggered,3.4 24,,,
Injection,pump,delivers,unevenly,,,,,,
Fuel Fuel viscosity,"insufficient,",fuel overheated,4.1 66,,,,,,
Fuel,system,Fuel,system,not bled,07,,,,
"Fuel too cold,",solidified,in the fuel pipes,,,,,,,
(heavy fuel),4.1 11,,,,,,,,
Fuel pressure,before,injection,pump,"too low,",,,,,
feed pump faulty,"3.4, 3.5 12",,,,,,,,
Fuel filter,blocked,13,,,,,,,
Injection,pump/,injection,pump,drive,"Injection pump plunger sticking, spring",,,,
broken,200.xx,17,,,,,,,
Leaky,pressure,valve,in the injection,pump,200.xx,19,,,
"Controlrod,regulatingsleeveorpump",,,,,,,,,
elementsticking,200.xx,18,,,,,,,
Starting,pipe,to cylinder,head,getting,hot,,,,
Cylinder,head,Starting,valve,leaky,161.xx,04,,,
Safety,valve,in the cylinder,head,blows,off,,,,
Engine,Engine,or individual,cylinders,severely,"3.5, 4.3 25",,,,
Cylinder,head,Safety,"valve,",spring,broken,057.xx,27,,
Injection,time maladjustment,Injection time too,early,(only,for engines with,,,,
automatic,fuel injection,timer),"3.4, 200.xx,",120.xx,14,,,,
